Shape: (16, 16, 16)
(np.int64(8), np.int64(11), np.int64(13)): (-8.323452909955298e-17-0.6796615085876523j)
(np.int64(8), np.int64(12), np.int64(12)): (-8.659560562354934e-17-0.7071067811865476j)
(np.int64(8), np.int64(13), np.int64(11)): (-8.323452909955297e-17-0.6796615085876523j)
(np.int64(8), np.int64(14), np.int64(10)): (-7.281793434556704e-17-0.5946035575013606j)
(np.int64(8), np.int64(15), np.int64(9)): (-5.356926457177483e-17-0.43742624084815174j)
(np.int64(9), np.int64(1), np.int64(8)): 0.43742624084815124j
(np.int64(9), np.int64(2), np.int64(7)): 0.6067276254458683j
(np.int64(9), np.int64(3), np.int64(6)): 0.7095191586671434j
(np.int64(9), np.int64(4), np.int64(5)): 0.7593686464551286j
(np.int64(9), np.int64(5), np.int64(4)): 0.7593686464551286j
(np.int64(9), np.int64(6), np.int64(3)): 0.7095191586671434j
(np.int64(9), np.int64(7), np.int64(2)): 0.6067276254458683j
(np.int64(9), np.int64(8), np.int64(1)): 0.43742624084815124j
(np.int64(9), np.int64(10), np.int64(15)): (-5.149005516774729e-17-0.4204482076268576j)
(np.int64(9), np.int64(11), np.int64(14)): (-6.841334771087745e-17-0.5586373782098601j)
(np.int64(9), np.int64(12), np.int64(13)): (-7.60168390587665e-17-0.6207245967710231j)
(np.int64(9), np.int64(13), np.int64(12)): (-7.60168390587665e-17-0.6207245967710232j)
(np.int64(9), np.int64(14), np.int64(11)): (-6.841334771087745e-17-0.5586373782098601j)
(np.int64(9), np.int64(15), np.int64(10)): (-5.14900551677473e-17-0.4204482076268576j)
(np.int64(10), np.int64(1), np.int64(9)): 0.4204482076268572j
(np.int64(10), np.int64(2), np.int64(8)): 0.5946035575013606j
(np.int64(10), np.int64(3), np.int64(7)): 0.7095191586671434j
(np.int64(10), np.int64(4), np.int64(6)): 0.7768869870150187j
(np.int64(10), np.int64(5), np.int64(5)): 0.7991973858517558j
(np.int64(10), np.int64(6), np.int64(4)): 0.7768869870150185j
(np.int64(10), np.int64(7), np.int64(3)): 0.7095191586671434j
(np.int64(10), np.int64(8), np.int64(2)): 0.5946035575013606j
(np.int64(10), np.int64(9), np.int64(1)): 0.4204482076268572j
(np.int64(10), np.int64(11), np.int64(15)): (-4.740886720240124e-17-0.3871227788731342j)
(np.int64(10), np.int64(12), np.int64(14)): (-6.123233995736766e-17-0.5000000000000001j)
(np.int64(10), np.int64(13), np.int64(13)): (-6.539694987724332e-17-0.5340066207070906j)
(np.int64(10), np.int64(14), np.int64(12)): (-6.123233995736769e-17-0.5000000000000001j)
(np.int64(10), np.int64(15), np.int64(11)): (-4.740886720240124e-17-0.3871227788731341j)
(np.int64(11), np.int64(1), np.int64(10)): 0.38712277887313384j
(np.int64(11), np.int64(2), np.int64(9)): 0.5586373782098599j
(np.int64(11), np.int64(3), np.int64(8)): 0.6796615085876523j
(np.int64(11), np.int64(4), np.int64(7)): 0.7593686464551288j
(np.int64(11), np.int64(5), np.int64(6)): 0.799197385851756j
(np.int64(11), np.int64(6), np.int64(5)): 0.7991973858517559j
