,0,1,2,3,4,5,6,7,8,9,10,11
10,-1.2009079631193769,-2.082582614144997,-2.0704704777709453,-2.1956823001787003,-2.4314722387975074,-2.468664088973908,-2.542663087834422,-2.594240763525718,-2.574475518766747,-3.2131204478592554,-3.240629199055561,-3.2769603035381043
11,-1.1991875812067365,-2.083456324021524,-2.070045301257912,-2.19495027655803,-2.4369434024727834,-2.461017491185158,-2.545679332700104,-2.5922467816736283,-2.574736607436014,-3.2154201248858487,-3.240828788101483,-3.2773569921146435
12,-1.1977318734345024,-2.083427302567353,-2.070449560535809,-2.194335173196642,-2.439146552721852,-2.457127760397058,-2.5454049931665543,-2.5911037381442976,-2.5770857212254645,-3.217341723753211,-3.2409913449152987,-3.277723259590315
13,-1.1964841239154447,-2.0819007183310743,-2.072299272748949,-2.1938064422351107,-2.433678574497452,-2.4610822436502167,-2.547037653124837,-2.5878363502717607,-2.5795869339357695,-3.2189711312901452,-3.2411260789553213,-3.27805948071635
14,-1.195402740998928,-2.0824192972456914,-2.0720628801841636,-2.1933460673057104,-2.433411228390661,-2.46004634144984,-2.5470524574035625,-2.5880831952554857,-2.580067790157563,-3.220370229231409,-3.241239549462053,-3.2783672265878483
15,-1.194456530946976,-2.082753451029941,-2.07197645450413,-2.1929424242297673,-2.4379775352956656,-2.454351245515975,-2.5479568598569684,-2.584915291945493,-2.582969430035651,-3.2215846723012826,-3.241336501558588,-3.2786486064311906
16,-1.193621639724665,-2.081495822233034,-2.07345250471565,-2.192586430719809,-2.438092485268125,-2.453230838243392,-2.5480846379864057,-2.5854350414537324,-2.582894433284823,-3.222648848231774,-3.241420417837557,-3.2789059039210855
17,-1.1928795141937223,-2.081730820902288,-2.0734113153297935,-2.192270335149571,-2.4341719442060907,-2.45626110051023,-2.548638964643474,-2.582817065522594,-2.585463537853867,-3.2235891346936367,-3.2414938893205383,-3.2791413813033663
18,-1.1922155071397207,-2.0822585538064358,-2.0730568360115544,-2.1919876675145313,-2.4346504994632205,-2.4549859222903523,-2.548824004126586,-2.5831939750545474,-2.5853538960414038,-3.2244260937780105,-3.241558869066706,-3.279357179340065
19,-1.1916179007911194,-2.081242211387095,-2.0742291195302647,-2.191733253770674,-2.4385284565170684,-2.45039022787672,-2.549212027140986,-2.581158019173147,-2.5874096820839982,-3.225175985679666,-3.241616848001301,-3.2795552716995737
20,-1.1910772093328608,-2.081248187515064,-2.074364288357519,-2.19150301451828,-2.437358754854179,-2.4509110466846797,-2.5494344223252505,-2.581294665337045,-2.5874191521875516,-3.225851834401732,-3.241668978542844,-3.2797374496113916
21,-1.190585671643535,-2.08186204253743,-2.0738787761517883,-2.1912936768860565,-2.4345838928308825,-2.4530958769847238,-2.549751467183599,-2.579734834453124,-2.588997086841393,-3.226464192710169,-3.2417161622318202,-3.2799053232255044
22,-1.1901368763619768,-2.0810759598153994,-2.0747820417716527,-2.1911025422000066,-2.435549829208905,-2.451591194821384,-2.549999603300002,-2.5796536477204834,-2.5891361638967014,-3.2270217003551487,-3.241759112828555,-3.2800603313783996
