,0,1,2,3
103,-1.5283062924393689,-2.5138049328933882,-2.516813987591723,-20.0
104,-1.52829166715195,-2.5152384899053266,-2.515378883088201,-20.0
105,-1.5282773178133509,-2.5140540856747493,-2.516561769025224,-20.0
106,-1.5282632366866875,-2.5137884619512842,-2.5168259028342894,-20.0
107,-1.5282494163216298,-2.515122564062037,-2.515490338400054,-20.0
108,-1.5282358495412514,-2.5141958284034946,-2.5164156385667558,-20.0
109,-1.5282225294296077,-2.5137866429379914,-2.5168234146404855,-20.0
110,-1.528209449319975,-2.5149786594007897,-2.515630014180279,-20.0
111,-1.5281966027837295,-2.514345060159556,-2.516262254138374,-20.0
112,-1.528183983619806,-2.5137980045260173,-2.5168079745468366,-20.0
113,-1.5281715858447238,-2.514828493559292,-2.515776173713397,-20.0
114,-1.5281594036831208,-2.514500748714898,-2.5161026295716655,-20.0
115,-1.5281474315587875,-2.513821318036833,-2.51678079348747,-20.0
116,-1.5281356640861514,-2.5146859182369594,-2.5159149481791916,-20.0
117,-1.528124096062205,-2.514660879973945,-2.5159387624375134,-20.0
118,-1.528112722458828,-2.5138555730542635,-2.5167428659239537,-20.0
119,-1.5281015384155083,-2.514558096077915,-2.5160391595241496,-20.0
120,-1.528090539232408,-2.5148216745264333,-2.5157744172595597,-20.0
121,-1.5280797203637855,-2.513899952913868,-2.516694994135197,-20.0
122,-1.5280690774117252,-2.5144478769273153,-2.5161459439983256,-20.0
123,-1.5280586061201826,-2.5149764528934027,-2.515616260072188,-20.0
124,-1.5280483023693041,-2.5139538116347757,-2.5166378110979726,-20.0
125,-1.5280381621700276,-2.5143557232823794,-2.516234826522775,-20.0
126,-1.5280281816589278,-2.515114419969818,-2.5154750738043026,-20.0
127,-1.5280183570933148,-2.514016652180627,-2.5165718020629884,-20.0
128,-1.5280086848465477,-2.514280922642718,-2.5163065081870424,-20.0
129,-1.527999161403578,-2.5152205160699626,-2.515365907090888,-20.0
130,-1.5279897833566831,-2.5140881046670036,-2.516497326209121,-20.0
131,-1.5279805474014088,-2.5142222666982135,-2.5163621869276542,-20.0
132,-1.5279714503326791,-2.515278569275904,-2.5153049217953796,-20.0
133,-1.5279624890410952,-2.5141679016737073,-2.5164146412094563,-20.0
134,-1.5279536605093862,-2.514178406288377,-2.5164032024539384,-20.0
135,-1.5279449618090264,-2.515278739439577,-2.5153019488992596,-20.0
136,-1.5279363900969924,-2.5142558456368573,-2.516323935735013,-20.0
137,-1.5279279426126697,-2.5141480261000795,-2.5164308614492605,-20.0
138,-1.5279196166748834,-2.5152244604409546,-2.5153535461465473,-20.0
139,-1.527911409679066,-2.514351759530436,-2.5162253786804567,-20.0
140,-1.5279033190945364,-2.5141299237836408,-2.5164463583680554,-20.0
141,-1.527895342461902,-2.515131244896584,-2.515444193253125,-20.0
142,-1.5278874773905624,-2.5144554054494646,-2.516119200502472,-20.0
143,-1.5278797215563256,-2.514123040087471,-2.5164507452249367,-20.0
144,-1.5278720726991122,-2.5150182913636647,-2.5155546846283494,-20.0
145,-1.5278645286207653,-2.514566344303506,-2.5160058334547593,-20.0
146,-1.5278570871829393,-2.5141264648264587,-2.5164449255583943,-20.0
147,-1.5278497463050846,-2.514901230563254,-2.515669383088461,-20.0
148,-1.527842503962503,-2.5146836914448802,-2.5158861558995023,-20.0
149,-1.5278353581844892,-2.5141394316366696,-2.516429659617763,-20.0
150,-1.5278283070525416,-2.5147899462309495,-2.515778398947976,-20.0
151,-1.5278213486986463,-2.5148056982232174,-2.51576191069704,-20.0
152,-1.5278144813036247,-2.514161308090946,-2.516405574194968,-20.0
153,-1.5278077030955521,-2.514689586624471,-2.5158765784638937,-20.0
154,-1.5278010123482284,-2.5149290736636534,-2.515636383481334,-20.0
155,-1.5277944073797172,-2.514191584329155,-2.5163731739486517,-20.0
156,-1.5277878865509316,-2.514602272384602,-2.51596179592875,-20.0
157,-1.5277814482642829,-2.515048019176507,-2.5155153679060973,-20.0
158,-1.5277750909623715,-2.5142298614145866,-2.5163328530062685,-20.0
159,-1.5277688131267344,-2.5145284406327537,-2.5160336095346794,-20.0
160,-1.5277626132766329,-2.5151532584131373,-2.515408135752384,-20.0
161,-1.527756489967891,-2.5142758394001095,-2.5162849068623303,-20.0
162,-1.5277504417917713,-2.514467686478142,-2.5160924198309194,-20.0
163,-1.5277444673738974,-2.5152321283960273,-2.5153273457638807,-20.0
164,-1.5277385653732094,-2.5143293040222168,-2.5162295456510457,-20.0
165,-1.527732734480964,-2.5144192368237324,-2.516138995886905,-20.0
166,-1.5277269734197627,-2.515271602145864,-2.5152860209908927,-20.0
167,-1.5277212809426242,-2.5143901096578296,-2.516166911161791,-20.0
168,-1.5277156558320781,-2.5143822011953416,-2.5161742244351597,-20.0
169,-1.5277100968993038,-2.5152646137118193,-2.5152912237317655,-20.0
170,-1.5277046029832866,-2.514458154155716,-2.5160971019802854,-20.0
171,-1.5276991729500145,-2.5143556979559394,-2.5161989836320533,-20.0
